record_type,timestamp_pt,timestamp_utc,method,path,query_string,http_status,ip,referrer,user_agent,source_bucket,is_bot,is_tiktok_ua,cdn_cache,matched_visit_id,visit_match_delta_sec,slicewp_landing_url,slicewp_referrer_url,converted_commission_id
access_log_click,2026-08-31 04:52:21,2026-08-31 11:52:21 +0000,GET,/aff/PGFit/,ttclid=E_C_P_Ct0BN6xdHyYN13LgRjOY3Ok9-aU6Yhnbj67eruituhURLEviQPX3qOQpbDZkwK6FdvB30XELkgPsC4AeIYw04iWffD6VZkgV1CZoMvIFkwTlde1xzq4Wl96KuM3VvS445yl9qAZb5o0dcsoaswXltVEKcECjWKyA1h733oaTM_YmOdbnlFdK6graqv4DRIzqHfHWbWMOxFV91yV6KUqFV0jyYxFLUAI8987WSJjUYcjXlzEACkJagC3tPcRnzhYEZQi5IM7lbCxLPC_GtdAmYTdXD3nKIANUUVoYbpMNC2kSBHYyLjA,200,153.117.28.248,https://www.tiktok.com/,"Mozilla/5.0 (Linux; Android 15; TECNO KM5 Build/AP3A.240905.015.A2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.7922.199 Mobile Safari/537.36 musical_ly_46.6.3",tiktok,no,yes,MISS,134815,2,,,
ts_visit_beacon,2026-08-31 04:52:23,2026-08-31 11:52:23 +0000,POST,/ts-visit.php,,200,153.117.28.248,https://true-sciences.com/aff/PGFit/?ttclid=E_C_P_Ct0BN6xdHyYN13LgRjOY3Ok9-aU6Yhnbj67eruituhURLEviQPX3qOQpbDZkwK6FdvB30XELkgPsC4AeIYw04iWffD6VZkgV1CZoMvIFkwTlde1xzq4Wl96KuM3VvS445yl9qAZb5o0dcsoaswXltVEKcECjWKyA1h733oaTM_YmOdbnlFdK6graqv4DRIzqHfHWbWMOxFV91yV6KUqFV0jyYxFLUAI8987WSJjUYcjXlzEACkJagC3tPcRnzhYEZQi5IM7lbCxLPC_GtdAmYTdXD3nKIANUUVoYbpMNC2kSBHYyLjA,"Mozilla/5.0 (Linux; Android 15; TECNO KM5 Build/AP3A.240905.015.A2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.7922.199 Mobile Safari/537.36 musical_ly_46.6.3",tiktok,no,yes,,,,,,
access_log_click,2026-08-31 05:19:30,2026-08-31 12:19:30 +0000,GET,/aff/PGFit/,ttclid=E_C_P_CuEBYe4c38azJ5P8vAFwknNEdbcSSdJAMKg6SUYVXnS2ZNlpUtg_cTlRbjBV6p_-F3rGEIJZO0AAcIftsUhjoycwg6T6hEaYiY3irJHvTbh-rEwg1RFD1pgtwxpZ8xpkpBiuvfTuyx2ImMvTDnIoB6K6kDwwNVJpE8GdAkXZjy8l92VkTi-9P9nTr4s4QJ3kVElE3QYR8e0RpBCMoRO_GiRge8Svf-NqKbSUoaWuP9bQq9ti0KTWgpVY0ToByO8VYq55rvcCgwVbHolRAvb7Zi5bIgjIUMcbGP6O26OZGFqI8J_bEgR2Mi4w,200,68.216.66.68,https://www.tiktok.com/,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1 musical_ly_46.2.0 JsSdk/2.0 NetType/2G Channel/App Store ByteLocale/en Region/US isDarkMode/0 RevealType/Dialog",tiktok,no,yes,MISS,134822,1,,,
ts_visit_beacon,2026-08-31 05:19:31,2026-08-31 12:19:31 +0000,POST,/ts-visit.php,,200,68.216.66.68,https://true-sciences.com/aff/PGFit/?ttclid=E_C_P_CuEBYe4c38azJ5P8vAFwknNEdbcSSdJAMKg6SUYVXnS2ZNlpUtg_cTlRbjBV6p_-F3rGEIJZO0AAcIftsUhjoycwg6T6hEaYiY3irJHvTbh-rEwg1RFD1pgtwxpZ8xpkpBiuvfTuyx2ImMvTDnIoB6K6kDwwNVJpE8GdAkXZjy8l92VkTi-9P9nTr4s4QJ3kVElE3QYR8e0RpBCMoRO_GiRge8Svf-NqKbSUoaWuP9bQq9ti0KTWgpVY0ToByO8VYq55rvcCgwVbHolRAvb7Zi5bIgjIUMcbGP6O26OZGFqI8J_bEgR2Mi4w,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1 musical_ly_46.2.0 JsSdk/2.0 NetType/2G Channel/App Store ByteLocale/en Region/US isDarkMode/0 RevealType/Dialog",tiktok,no,yes,,,,,,
access_log_click,2026-08-31 06:58:27,2026-08-31 13:58:27 +0000,GET,/aff/PGFit/,ttclid=E_C_P_CuIB5_R0nOtHksfl4H9TB-JSQ42w-bSZKZ00qyPeUmS2Mm2p3Q8wp3zgfLDYP07J9etXVzguE5Mx7UuAYerv2OQAOAqKy6vmu2JtEnhSHfbaztJEVd2XK5MlroGHbu_kSafmdWMzWKhLTNmiN_C83EOfDyaC0lNGLMNvG1j72dxtOQCAEdpUU8NCdO73lwZfMi9P2fkFKr-UVCnaFKfHPyntFAyRHAq0gA6YF-Qd-K3CvV-L1GShTgpGJ7u0lpyf9WPittKpQ0xwMOfe0vNTg_bDn54lk-HhX8urIr_Bzz7WwMehHBIEdjIuMA,200,67.80.2.167,https://www.tiktok.com/,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7.8 Mobile/15E148 Safari/604.1 musical_ly_46.6.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/en Region/US isDarkMode/1 RevealType/Dialog",tiktok,no,yes,MISS,134843,2,,,
ts_visit_beacon,2026-08-31 06:58:29,2026-08-31 13:58:29 +0000,POST,/ts-visit.php,,200,67.80.2.167,https://true-sciences.com/aff/PGFit/?ttclid=E_C_P_CuIB5_R0nOtHksfl4H9TB-JSQ42w-bSZKZ00qyPeUmS2Mm2p3Q8wp3zgfLDYP07J9etXVzguE5Mx7UuAYerv2OQAOAqKy6vmu2JtEnhSHfbaztJEVd2XK5MlroGHbu_kSafmdWMzWKhLTNmiN_C83EOfDyaC0lNGLMNvG1j72dxtOQCAEdpUU8NCdO73lwZfMi9P2fkFKr-UVCnaFKfHPyntFAyRHAq0gA6YF-Qd-K3CvV-L1GShTgpGJ7u0lpyf9WPittKpQ0xwMOfe0vNTg_bDn54lk-HhX8urIr_Bzz7WwMehHBIEdjIuMA,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7.8 Mobile/15E148 Safari/604.1 musical_ly_46.6.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/en Region/US isDarkMode/1 RevealType/Dialog",tiktok,no,yes,,,,,,
access_log_click,2026-08-31 08:01:37,2026-08-31 15:01:37 +0000,GET,/aff/PGFit/,ttclid=E_C_P_CtgBK22vvmiXIOQjNsXpo_XgvcXYwl6TvGrkuDZ9wMFPbUf-LOsP6yekoYReIZV_-VWG4tTLQyaMG1Vdq6rD0V0Qu0k4Yy21W3aAm9ppKQt0TER4YNxc2bgjVfRqaSItvDaJ_2rWbDL29aWhu0JUfcEXAFOAweaXsxEQ-dABfI6SilW_0lenh5kTv8_BjBmbo4aGFUEVo92uVKIWunf71MSexeqJSUxdCJu5NqnUNCjDymj0j0mG3za2tt0KdeR0reBvWbKjDaLHTK-byOC6Lmodx5Tqo9LINO9xEgR2Mi4w,200,172.56.4.143,https://www.tiktok.com/,"Mozilla/5.0 (Linux; Android 17; Pixel 10a Build/CP2A.260805.005) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.7922.199 Mobile Safari/537.36 musical_ly_46.7.3",tiktok,no,yes,MISS,134869,2,,,
ts_visit_beacon,2026-08-31 08:01:39,2026-08-31 15:01:39 +0000,POST,/ts-visit.php,,200,172.56.4.143,https://true-sciences.com/aff/PGFit/?ttclid=E_C_P_CtgBK22vvmiXIOQjNsXpo_XgvcXYwl6TvGrkuDZ9wMFPbUf-LOsP6yekoYReIZV_-VWG4tTLQyaMG1Vdq6rD0V0Qu0k4Yy21W3aAm9ppKQt0TER4YNxc2bgjVfRqaSItvDaJ_2rWbDL29aWhu0JUfcEXAFOAweaXsxEQ-dABfI6SilW_0lenh5kTv8_BjBmbo4aGFUEVo92uVKIWunf71MSexeqJSUxdCJu5NqnUNCjDymj0j0mG3za2tt0KdeR0reBvWbKjDaLHTK-byOC6Lmodx5Tqo9LINO9xEgR2Mi4w,"Mozilla/5.0 (Linux; Android 17; Pixel 10a Build/CP2A.260805.005) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.7922.199 Mobile Safari/537.36 musical_ly_46.7.3",tiktok,no,yes,,,,,,
access_log_click,2026-08-31 08:17:00,2026-08-31 15:17:00 +0000,GET,/aff/PGFit/,ttclid=E_C_P_CuEBMyYKCMHVUvIGESlakyorkmaumD-OpGbvnCfcbt6qgdCbq35rlMoDDJV8c-7p8WkMsbmB8zmUcvyej2jZjkXeQQAYzLjLo87FmQJU0_SW45U0blUir79BCDKpH5sMiNj2ZQ06bheHGny-5j50E7fBtg2jov8Ij2Feo6dl2o5L0ZXp0zHa6B_DS3hlHY_x4cSgakfyzepRU-n6faQ_38xMLegRmKM4obJSLlmhku6w1DGUQ_jgs33i6-bs7lC3KORhxMx5MWZ1eNReP8b2L_EY_bnsSHoqsi3phF3GllhlIQeiEgR2Mi4w,200,69.125.201.213,https://www.tiktok.com/,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7.8 Mobile/15E148 Safari/604.1 musical_ly_46.5.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/en Region/US isDarkMode/1 RevealType/Dialog",tiktok,no,yes,MISS,134877,1,,,
ts_visit_beacon,2026-08-31 08:17:01,2026-08-31 15:17:01 +0000,POST,/ts-visit.php,,200,69.125.201.213,https://true-sciences.com/aff/PGFit/?ttclid=E_C_P_CuEBMyYKCMHVUvIGESlakyorkmaumD-OpGbvnCfcbt6qgdCbq35rlMoDDJV8c-7p8WkMsbmB8zmUcvyej2jZjkXeQQAYzLjLo87FmQJU0_SW45U0blUir79BCDKpH5sMiNj2ZQ06bheHGny-5j50E7fBtg2jov8Ij2Feo6dl2o5L0ZXp0zHa6B_DS3hlHY_x4cSgakfyzepRU-n6faQ_38xMLegRmKM4obJSLlmhku6w1DGUQ_jgs33i6-bs7lC3KORhxMx5MWZ1eNReP8b2L_EY_bnsSHoqsi3phF3GllhlIQeiEgR2Mi4w,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7.8 Mobile/15E148 Safari/604.1 musical_ly_46.5.0 JsSdk/2.0 NetType/WIFI Channel/App Store ByteLocale/en Region/US isDarkMode/1 RevealType/Dialog",tiktok,no,yes,,,,,,
